,지구별,주차장명,주차대수,이용시간,날짜,주차구획수,연도,월,일,요일,휴일여부,아침 주차대수,낮 주차대수,저녁 주차대수,아침 이용시간,낮 이용시간,저녁 이용시간
80,PLT-008,여의도2주차장,1718,91397,2024-09-14,176,2024,9,14,5,1,438.84,719.89,559.27,23346.134738067518,38297.89658323632,29752.968678696157
81,PLT-008,여의도3주차장,1426,143294,2024-09-14,785,2024,9,14,5,1,364.25,597.53,464.21,36602.52841885287,60044.224587830206,46647.24699331692
82,PLT-008,여의도1주차장,3019,217854,2024-09-14,462,2024,9,14,5,1,771.17,1265.05,982.79,55648.19897251085,91286.94595248112,70918.85507500805
83,PLT-008,여의도4주차장,52,4614,2024-09-14,218,2024,9,14,5,1,13.28,21.79,16.93,1178.3446153846153,1933.4434615384614,1502.211923076923
84,PLT-008,여의도5주차장,152,14840,2024-09-14,141,2024,9,14,5,1,38.83,63.69,49.48,3791.0342105263157,6218.155263157894,4830.8105263157895
85,PLT-008,여의도3주차장,972,271657,2024-09-13,785,2024,9,13,4,0,299.34,345.13,327.53,83660.29462962963,96457.79877572016,91538.9065946502
86,PLT-008,여의도1주차장,1379,243714,2024-09-13,462,2024,9,13,4,0,424.68,489.65,464.67,75054.72191443075,86537.0269035533,82122.25118201596
87,PLT-008,여의도4주차장,155,47076,2024-09-13,218,2024,9,13,4,0,47.73,55.04,52.23,14496.370838709676,16716.535741935484,15863.093419354838
88,PLT-008,여의도5주차장,389,91646,2024-09-13,141,2024,9,13,4,0,119.8,138.12,131.08,28224.140874035988,32540.219845758354,30881.639280205658
89,PLT-008,여의도2주차장,756,126100,2024-09-13,176,2024,9,13,4,0,232.82,268.44,254.74,38834.12962962963,44775.50793650794,42490.362433862436
90,PLT-008,여의도3주차장,955,316093,2024-09-12,785,2024,9,12,3,0,277.27,363.95,313.78,91772.88597905758,120462.87680628273,103857.23721465968
91,PLT-008,여의도2주차장,984,149543,2024-09-12,176,2024,9,12,3,0,285.69,375.01,323.31,43417.18038434569,56991.41312588287,49134.40648977145
92,PLT-008,여의도4주차장,168,50859,2024-09-12,218,2024,9,12,3,0,48.78,64.03,55.2,14766.394976489495,19382.78536991846,16709.81965359205
93,PLT-008,여의도1주차장,1370,265547,2024-09-12,462,2024,9,12,3,0,397.75,522.11,450.14,77095.8534671533,101200.54318978102,87250.60334306568
94,PLT-008,여의도5주차장,373,100158,2024-09-12,141,2024,9,12,3,0,108.29,142.15,122.56,29078.042412868635,38170.13324396783,32909.824343163535
95,PLT-008,여의도3주차장,1206,342172,2024-09-11,785,2024,9,11,2,0,361.07,454.7,390.23,102444.48096185738,129009.62553897181,110717.89349917082
96,PLT-008,여의도1주차장,1531,287261,2024-09-11,462,2024,9,11,2,0,458.37,577.24,495.39,86003.80442194644,108307.34137165251,92949.85420640104
97,PLT-008,여의도4주차장,172,57183,2024-09-11,218,2024,9,11,2,0,51.5,64.85,55.65,17121.65406976744,21559.985755813952,18501.360174418605
98,PLT-008,여의도5주차장,384,106324,2024-09-11,141,2024,9,11,2,0,114.97,144.78,124.25,31833.516354166666,40087.470625,34403.01302083333
99,PLT-008,여의도2주차장,1217,162955,2024-09-11,176,2024,9,11,2,0,364.36,458.85,393.79,48787.41479046836,61439.52485620378,52728.060353327855
100,PLT-008,여의도2주차장,1669,183782,2024-09-10,176,2024,9,10,1,0,479.54,637.15,552.31,52804.56577591372,70159.79706411024,60817.637159976024
101,PLT-008,여의도3주차장,1149,336707,2024-09-10,785,2024,9,10,1,0,330.13,438.64,380.23,96742.45597040905,128540.60790252393,111423.93612706702
102,PLT-008,여의도4주차장,202,63377,2024-09-10,218,2024,9,10,1,0,58.04,77.12,66.85,18209.004900747488,24195.01133607247,20972.98376318004
103,PLT-008,여의도5주차장,448,114289,2024-09-10,141,2024,9,10,1,0,128.72,171.03,148.25,32837.67875,43631.35640625,37819.96484375
104,PLT-008,여의도1주차장,1805,318942,2024-09-10,462,2024,9,10,1,0,518.61,689.07,597.32,91637.95602216067,121758.09636565097,105545.94761218838
105,PLT-008,여의도1주차장,1889,323301,2024-09-09,462,2024,9,9,0,0,550.15,726.93,611.92,94157.7793276866,124413.54998941238,104729.670682901
106,PLT-008,여의도2주차장,1908,190166,2024-09-09,176,2024,9,9,0,0,555.68,734.24,618.07,55383.64607780962,73180.40652204675,61601.9474001436
107,PLT-008,여의도5주차장,365,104863,2024-09-09,141,2024,9,9,0,0,106.3,140.46,118.24,30539.553150684933,40353.58076712329,33969.86608219178
108,PLT-008,여의도3주차장,1166,352318,2024-09-09,785,2024,9,9,0,0,339.58,448.7,377.71,102608.20971020334,135580.13928078284,114129.65100901379
109,PLT-008,여의도4주차장,218,77688,2024-09-09,218,2024,9,9,0,0,63.49,83.89,70.62,22625.73908256881,29895.62532110092,25166.635596330278
110,PLT-008,여의도4주차장,47,2627,2024-09-08,218,2024,9,8,6,1,11.36,19.67,15.97,634.9514893617021,1099.4274468085107,892.6210638297873
111,PLT-008,여의도3주차장,3180,435209,2024-09-08,785,2024,9,8,6,1,768.74,1331.06,1080.2,105208.35429559748,182166.44388050312,147834.20182389938
112,PLT-008,여의도1주차장,3813,356368,2024-09-08,462,2024,9,8,6,1,921.77,1596.01,1295.22,86149.83775504852,149165.19582480987,121052.96642014163
113,PLT-008,여의도2주차장,2263,121401,2024-09-08,176,2024,9,8,6,1,547.06,947.23,768.71,29347.60541758727,50815.1432744145,41238.25130799823
114,PLT-008,여의도5주차장,232,19126,2024-09-08,141,2024,9,8,6,1,56.08,97.11,78.81,4623.215862068965,8005.714913793104,6497.069224137931
115,PLT-008,여의도5주차장,250,22958,2024-09-07,141,2024,9,7,5,1,66.95,99.66,83.39,6148.152400000001,9151.97712,7657.8704800000005
116,PLT-008,여의도3주차장,2345,280197,2024-09-07,785,2024,9,7,5,1,628.02,934.79,782.19,75040.22172281449,111695.24675053306,93461.53152665246
117,PLT-008,여의도2주차장,2683,129031,2024-09-07,176,2024,9,7,5,1,718.54,1069.53,894.93,34556.06960119269,51435.90213566902,43039.02826313827
118,PLT-008,여의도1주차장,3740,374164,2024-09-07,462,2024,9,7,5,1,1001.62,1490.88,1247.5,100205.92130481284,149153.37548663103,124804.70320855615
119,PLT-008,여의도4주차장,58,4388,2024-09-07,218,2024,9,7,5,1,15.53,23.12,19.35,1174.924827586207,1749.1475862068967,1463.9275862068966
120,PLT-008,여의도2주차장,1834,176887,2024-09-06,176,2024,9,6,4,0,534.85,681.08,618.07,51585.611750272634,65689.31186477645,59612.07638495094
121,PLT-008,여의도5주차장,325,91385,2024-09-06,141,2024,9,6,4,0,94.78,120.69,109.53,26650.67784615385,33936.17123076923,30798.150923076922
122,PLT-008,여의도4주차장,176,59839,2024-09-06,218,2024,9,6,4,0,51.33,65.36,59.31,17451.908352272727,22222.028636363633,20165.063011363636
123,PLT-008,여의도3주차장,1372,340593,2024-09-06,785,2024,9,6,4,0,400.12,509.51,462.37,99328.04020408163,126483.62932215743,114781.33047376093
124,PLT-008,여의도1주차장,2405,346497,2024-09-06,462,2024,9,6,4,0,701.37,893.13,810.5,101048.8984989605,128676.45139708939,116771.6501039501
125,PLT-008,여의도3주차장,1091,313487,2024-09-05,785,2024,9,5,3,0,327.74,404.75,358.51,94172.52922089827,116300.51626947755,103013.95450962419
126,PLT-008,여의도4주차장,168,63214,2024-09-05,218,2024,9,5,3,0,50.47,62.33,55.21,18989.408844711623,23451.750610082734,20772.840545205647
127,PLT-008,여의도2주차장,1278,169783,2024-09-05,176,2024,9,5,3,0,383.92,474.13,419.96,51003.58319574964,62987.93733225875,55791.47947199161
128,PLT-008,여의도5주차장,361,107833,2024-09-05,141,2024,9,5,3,0,108.45,133.93,118.63,32393.808620259828,40004.6361319631,35434.55524777707
129,PLT-008,여의도1주차장,1882,317491,2024-09-05,462,2024,9,5,3,0,565.36,698.2,618.43,95376.0178109342,117786.07548392926,104328.90670513659
130,PLT-008,여의도3주차장,1309,370604,2024-09-04,785,2024,9,4,2,0,366.3,505.52,437.18,103706.83361344539,143122.7915049656,123774.37488158901
131,PLT-008,여의도4주차장,182,61258,2024-09-04,218,2024,9,4,2,0,50.93,70.29,60.78,17142.14252747253,23658.378131868136,20457.47934065934
132,PLT-008,여의도1주차장,2099,344865,2024-09-04,462,2024,9,4,2,0,587.37,810.61,701.02,96504.69511672224,133182.95266793712,115177.35221534064
133,PLT-008,여의도5주차장,391,106622,2024-09-04,141,2024,9,4,2,0,109.41,151.0,130.59,29835.07166240409,41176.27109974424,35610.657237851665
134,PLT-008,여의도2주차장,1927,186804,2024-09-04,176,2024,9,4,2,0,539.24,744.19,643.58,52273.82782652918,72141.64366557516,62388.528507895644
135,PLT-008,여의도3주차장,1150,344561,2024-09-03,785,2024,9,3,1,0,326.17,440.03,383.8,97726.4881478261,131841.02333043478,114993.48852173913
136,PLT-008,여의도5주차장,442,106371,2024-09-03,141,2024,9,3,1,0,125.36,169.13,147.51,30168.93339366516,40702.550294117646,35499.516312217194
137,PLT-008,여의도2주차장,2090,191270,2024-09-03,176,2024,9,3,1,0,592.77,799.71,697.52,54248.38177033493,73186.85727272728,63834.76095693779
138,PLT-008,여의도4주차장,228,55799,2024-09-03,218,2024,9,3,1,0,64.67,87.24,76.09,15826.847938596491,21350.45947368421,18621.6925877193
139,PLT-008,여의도1주차장,2191,358990,2024-09-03,462,2024,9,3,1,0,621.42,838.36,731.23,101817.68490330942,137362.6119460888,119809.70315060178
140,PLT-008,여의도4주차장,277,68956,2024-09-02,218,2024,9,2,0,0,77.32,109.15,90.53,19247.934729241875,27171.651263537904,22536.414007220217
141,PLT-008,여의도3주차장,1150,381959,2024-09-02,785,2024,9,2,0,0,321.01,453.13,375.86,106619.70312173913,150501.8101478261,124837.48673043477
142,PLT-008,여의도1주차장,2049,330524,2024-09-02,462,2024,9,2,0,0,571.95,807.36,669.69,92261.20146412884,130235.16673499269,108027.63180087849
143,PLT-008,여의도2주차장,1692,181790,2024-09-02,176,2024,9,2,0,0,472.3,666.69,553.01,50744.336288416074,71629.7725177305,59415.89119385343
144,PLT-008,여의도5주차장,419,107264,2024-09-02,141,2024,9,2,0,0,116.96,165.1,136.95,29941.04541657717,42264.59129853703,35058.3632848858
145,PLT-008,여의도4주차장,78,3960,2024-09-01,218,2024,9,1,6,1,17.88,32.77,27.34,907.8702397743299,1663.9210155148094,1388.2087447108602
146,PLT-008,여의도1주차장,3869,377747,2024-09-01,462,2024,9,1,6,1,887.11,1625.51,1356.38,86612.33940811579,158705.48616438356,132429.17442750066
147,PLT-008,여의도3주차장,2999,408420,2024-09-01,785,2024,9,1,6,1,687.63,1259.99,1051.38,93645.16325441813,171592.236012004,143182.60073357786
148,PLT-008,여의도2주차장,2483,147214,2024-09-01,176,2024,9,1,6,1,569.32,1043.2,870.48,33754.278888441404,61850.03817962143,51609.682931937175
149,PLT-008,여의도5주차장,280,17361,2024-09-01,141,2024,9,1,6,1,64.2,117.64,98.16,3980.6292857142857,7294.100142857143,6086.270571428571
150,PLT-008,여의도5주차장,282,26275,2024-08-31,141,2024,8,31,5,1,74.07,110.91,97.02,6901.380319148935,10333.90159574468,9039.718085106382
151,PLT-008,여의도4주차장,78,5173,2024-08-31,218,2024,8,31,5,1,20.49,30.68,26.84,1358.7331111395974,2034.452506088963,1779.8143827714393
152,PLT-008,여의도2주차장,2629,148112,2024-08-31,176,2024,8,31,5,1,690.5,1034.01,904.49,38901.23088626854,58253.81860783568,50956.95050589578
153,PLT-008,여의도1주차장,3537,315398,2024-08-31,462,2024,8,31,5,1,928.98,1391.14,1216.88,82838.1210178117,124049.41298275375,108510.46599943456
154,PLT-008,여의도3주차장,2273,278049,2024-08-31,785,2024,8,31,5,1,597.0,893.99,782.01,73029.14782226134,109359.00814342279,95660.84403431589
155,PLT-008,여의도2주차장,2256,190812,2024-08-30,176,2024,8,30,4,0,679.22,864.81,711.96,57448.53773288003,73145.77002557636,60217.69224154363
156,PLT-008,여의도4주차장,271,62662,2024-08-30,218,2024,8,30,4,0,81.59,103.88,85.52,18866.3514520831,24020.54895014576,19775.099597771135
157,PLT-008,여의도1주차장,2717,373077,2024-08-30,462,2024,8,30,4,0,818.02,1041.53,857.45,112324.05135811557,143014.68082811925,117738.2678137652
158,PLT-008,여의도3주차장,1466,337675,2024-08-30,785,2024,8,30,4,0,441.37,561.97,462.65,101664.82360043383,129443.73409777693,106566.44230178923
159,PLT-008,여의도5주차장,333,87891,2024-08-30,141,2024,8,30,4,0,100.26,127.65,105.09,26462.3172972973,33691.55,27737.132702702704
160,PLT-008,여의도5주차장,393,99071,2024-08-29,141,2024,8,29,3,0,117.14,155.01,120.85,29529.71231552163,39076.32496183206,30464.962722646305
161,PLT-008,여의도4주차장,221,58889,2024-08-29,218,2024,8,29,3,0,65.87,87.17,67.96,17552.119592760184,23227.84674208145,18109.033665158368
162,PLT-008,여의도1주차장,2246,345085,2024-08-29,462,2024,8,29,3,0,669.43,885.9,690.67,102854.0745992876,136113.44679430098,106117.47860641139
163,PLT-008,여의도2주차장,2026,188233,2024-08-29,176,2024,8,29,3,0,603.86,799.12,623.02,56103.83977295163,74245.19000987167,57883.9702171767
164,PLT-008,여의도3주차장,1169,320575,2024-08-29,785,2024,8,29,3,0,348.43,461.09,359.48,95549.99764756202,126444.76197604788,98580.24037639008
165,PLT-008,여의도4주차장,224,61663,2024-08-28,218,2024,8,28,2,0,65.06,84.42,74.53,17908.998616133205,23238.20570510245,20515.79567876434
166,PLT-008,여의도5주차장,389,96569,2024-08-28,141,2024,8,28,2,0,112.98,146.6,129.42,28047.2123907455,36393.35578406169,32128.4318251928
167,PLT-008,여의도1주차장,2009,314339,2024-08-28,462,2024,8,28,2,0,583.51,757.1,668.4,91298.67441675252,118459.36899268793,104580.95659055951
168,PLT-008,여의도2주차장,2008,184543,2024-08-28,176,2024,8,28,2,0,583.21,756.72,668.06,53599.53138710851,69545.8537940926,61397.61481879889
169,PLT-008,여의도3주차장,1211,342495,2024-08-28,785,2024,8,28,2,0,351.73,456.37,402.9,99476.27279108176,129070.55586292321,113948.17134599504
170,PLT-008,여의도1주차장,2029,321325,2024-08-27,462,2024,8,27,1,0,570.84,781.29,676.87,90401.75603745687,123729.92077378018,107193.32318876294
171,PLT-008,여의도4주차장,227,58354,2024-08-27,218,2024,8,27,1,0,63.86,87.41,75.73,16416.239823788546,22470.145991189427,19467.614185022027
172,PLT-008,여의도3주차장,1112,327942,2024-08-27,785,2024,8,27,1,0,312.85,428.19,370.96,92263.17868705037,126278.31383093525,109400.5074820144
