날짜,호선,역명,구분,아침 합계,낮 합계,저녁 합계
2020-04-20,7호선,뚝섬유원지,하차,1068,1610,3469
2020-04-21,7호선,뚝섬유원지,승차,3031,1839,1643
2020-04-21,7호선,뚝섬유원지,하차,1064,1872,3456
2020-04-22,7호선,뚝섬유원지,승차,2888,1712,1492
2020-04-22,7호선,뚝섬유원지,하차,1045,1683,3316
2020-04-23,7호선,뚝섬유원지,승차,2936,1884,1975
2020-04-23,7호선,뚝섬유원지,하차,1010,2072,3593
2020-04-24,7호선,뚝섬유원지,승차,2894,1886,2285
2020-04-24,7호선,뚝섬유원지,하차,1059,2288,3719
2020-04-25,7호선,뚝섬유원지,승차,1104,2802,3587
2020-04-25,7호선,뚝섬유원지,하차,533,4209,2760
2020-04-26,7호선,뚝섬유원지,승차,748,2887,4179
2020-04-26,7호선,뚝섬유원지,하차,445,5009,2399
2020-04-27,7호선,뚝섬유원지,승차,3013,2047,2332
2020-04-27,7호선,뚝섬유원지,하차,1061,2475,3816
2020-04-28,7호선,뚝섬유원지,승차,3038,2044,2871
2020-04-28,7호선,뚝섬유원지,하차,1084,2733,4159
2020-04-29,7호선,뚝섬유원지,승차,3005,2136,3526
2020-04-29,7호선,뚝섬유원지,하차,1075,2956,4839
2020-04-30,7호선,뚝섬유원지,승차,1027,3270,6292
2020-04-30,7호선,뚝섬유원지,하차,580,6787,3826
2020-05-01,7호선,뚝섬유원지,승차,1205,2854,5749
2020-05-01,7호선,뚝섬유원지,하차,552,5623,3975
2020-05-02,7호선,뚝섬유원지,승차,1048,2843,5852
2020-05-02,7호선,뚝섬유원지,하차,568,5591,3640
2020-05-03,7호선,뚝섬유원지,승차,752,2401,4885
2020-05-03,7호선,뚝섬유원지,하차,380,4262,3547
2020-05-04,7호선,뚝섬유원지,승차,2196,2173,4566
2020-05-04,7호선,뚝섬유원지,하차,886,3559,4946
2020-05-05,7호선,뚝섬유원지,승차,942,2680,5071
2020-05-05,7호선,뚝섬유원지,하차,490,4517,3449
2020-05-06,7호선,뚝섬유원지,승차,3102,2185,4224
2020-05-06,7호선,뚝섬유원지,하차,1092,3310,5371
2020-05-07,7호선,뚝섬유원지,승차,3170,2118,4259
2020-05-07,7호선,뚝섬유원지,하차,1079,3135,5423
2020-05-08,7호선,뚝섬유원지,승차,3086,2165,2888
2020-05-08,7호선,뚝섬유원지,하차,1103,2885,4140
2020-05-09,7호선,뚝섬유원지,승차,981,1877,1106
2020-05-09,7호선,뚝섬유원지,하차,526,1702,1687
2020-05-10,7호선,뚝섬유원지,승차,718,2408,3388
2020-05-10,7호선,뚝섬유원지,하차,455,3687,2471
2020-05-11,7호선,뚝섬유원지,승차,3135,1977,2858
2020-05-11,7호선,뚝섬유원지,하차,1066,2757,4277
2020-05-12,7호선,뚝섬유원지,승차,3125,1860,2774
2020-05-12,7호선,뚝섬유원지,하차,1059,2429,4321
2020-05-13,7호선,뚝섬유원지,승차,3100,2056,3758
2020-05-13,7호선,뚝섬유원지,하차,1087,3036,5046
2020-05-14,7호선,뚝섬유원지,승차,3047,2046,3482
2020-05-14,7호선,뚝섬유원지,하차,1115,2871,4780
2020-05-15,7호선,뚝섬유원지,승차,2883,1641,1590
2020-05-15,7호선,뚝섬유원지,하차,1006,1631,3234
2020-05-16,7호선,뚝섬유원지,승차,1069,2289,3298
2020-05-16,7호선,뚝섬유원지,하차,642,3027,2960
2020-05-17,7호선,뚝섬유원지,승차,817,2549,4244
2020-05-17,7호선,뚝섬유원지,하차,518,4034,2858
2020-05-18,7호선,뚝섬유원지,승차,3049,1954,1299
2020-05-18,7호선,뚝섬유원지,하차,1110,1919,3287
2020-05-19,7호선,뚝섬유원지,승차,3013,1650,2060
2020-05-19,7호선,뚝섬유원지,하차,1036,1796,3871
2020-05-20,7호선,뚝섬유원지,승차,3127,2206,3375
2020-05-20,7호선,뚝섬유원지,하차,1155,2860,4809
2020-05-21,7호선,뚝섬유원지,승차,3132,2154,3673
2020-05-21,7호선,뚝섬유원지,하차,1119,2976,5012
2020-05-22,7호선,뚝섬유원지,승차,3108,2190,2961
2020-05-22,7호선,뚝섬유원지,하차,1139,2761,4450
2020-05-23,7호선,뚝섬유원지,승차,1294,3296,7043
2020-05-23,7호선,뚝섬유원지,하차,767,6363,4728
2020-05-24,7호선,뚝섬유원지,승차,655,2165,3822
2020-05-24,7호선,뚝섬유원지,하차,440,3218,2684
2020-05-25,7호선,뚝섬유원지,승차,3144,2094,3117
2020-05-25,7호선,뚝섬유원지,하차,1102,2738,4619
2020-05-26,7호선,뚝섬유원지,승차,3198,2225,1842
2020-05-26,7호선,뚝섬유원지,하차,1156,2434,3715
2020-05-27,7호선,뚝섬유원지,승차,3251,2150,4032
2020-05-27,7호선,뚝섬유원지,하차,1101,3047,5370
2020-05-28,7호선,뚝섬유원지,승차,3204,2145,3841
2020-05-28,7호선,뚝섬유원지,하차,1155,2954,5281
2020-05-29,7호선,뚝섬유원지,승차,3177,2208,4549
2020-05-29,7호선,뚝섬유원지,하차,1110,3163,6292
2020-05-30,7호선,뚝섬유원지,승차,1291,3064,6960
2020-05-30,7호선,뚝섬유원지,하차,820,6109,5141
2020-05-31,7호선,뚝섬유원지,승차,835,2496,5068
2020-05-31,7호선,뚝섬유원지,하차,564,4666,3011
2020-06-01,7호선,뚝섬유원지,승차,3198,1929,3483
2020-06-01,7호선,뚝섬유원지,하차,1170,2725,5072
2020-06-02,7호선,뚝섬유원지,승차,3181,1760,1819
2020-06-02,7호선,뚝섬유원지,하차,1120,1821,3682
2020-06-03,7호선,뚝섬유원지,승차,3222,2090,3540
2020-06-03,7호선,뚝섬유원지,하차,1184,2693,5155
2020-06-04,7호선,뚝섬유원지,승차,3115,2108,3667
2020-06-04,7호선,뚝섬유원지,하차,1141,2657,5096
2020-06-05,7호선,뚝섬유원지,승차,3076,2217,4568
2020-06-05,7호선,뚝섬유원지,하차,1126,2989,6135
2020-06-06,7호선,뚝섬유원지,승차,1090,2800,6468
