지구별,주차장명,주차대수,이용시간,날짜,년도,월,일,휴일여부,1대당 평균 주차시간,평균기온,최저기온,최고기온,평균온도 구분,최고기온 구분,최저기온 구분,지점명_청담,아침 비율_청담,낮 비율_청담,저녁 비율_청담,지점명_영동,아침 비율_영동,낮 비율_영동,저녁 비율_영동
PLT-005,뚝섬4주차장,560,54821.0,2020-10-08,2020,10,8,0,97.89464285714286,17.2,12.1,23.1,15,19,11,청담대교,0.27544307971313164,0.4253400379193801,0.2992168823674883,영동대교,0.1989952553725928,0.42565587496511303,0.3753488696622942
PLT-005,뚝섬3주차장,257,22607.0,2020-10-08,2020,10,8,0,87.96498054474708,17.2,12.1,23.1,15,19,11,청담대교,0.27544307971313164,0.4253400379193801,0.2992168823674883,영동대교,0.1989952553725928,0.42565587496511303,0.3753488696622942
PLT-005,뚝섬1주차장,210,15086.0,2020-10-08,2020,10,8,0,71.83809523809524,17.2,12.1,23.1,15,19,11,청담대교,0.27544307971313164,0.4253400379193801,0.2992168823674883,영동대교,0.1989952553725928,0.42565587496511303,0.3753488696622942
PLT-005,뚝섬2주차장,696,76959.0,2020-10-08,2020,10,8,0,110.57327586206895,17.2,12.1,23.1,15,19,11,청담대교,0.27544307971313164,0.4253400379193801,0.2992168823674883,영동대교,0.1989952553725928,0.42565587496511303,0.3753488696622942
PLT-005,뚝섬1주차장,169,13687.0,2020-10-07,2020,10,7,0,80.98816568047337,16.0,9.9,22.0,15,19,6,청담대교,0.2833518736821133,0.41104783409985224,0.3056002922180345,영동대교,0.20055861996275867,0.42282963847802413,0.37661174155921723
PLT-005,뚝섬2주차장,603,67304.0,2020-10-07,2020,10,7,0,111.61525704809289,16.0,9.9,22.0,15,19,6,청담대교,0.2833518736821133,0.41104783409985224,0.3056002922180345,영동대교,0.20055861996275867,0.42282963847802413,0.37661174155921723
PLT-005,뚝섬4주차장,543,55977.0,2020-10-07,2020,10,7,0,103.08839779005524,16.0,9.9,22.0,15,19,6,청담대교,0.2833518736821133,0.41104783409985224,0.3056002922180345,영동대교,0.20055861996275867,0.42282963847802413,0.37661174155921723
PLT-005,뚝섬3주차장,229,21951.0,2020-10-07,2020,10,7,0,95.85589519650657,16.0,9.9,22.0,15,19,6,청담대교,0.2833518736821133,0.41104783409985224,0.3056002922180345,영동대교,0.20055861996275867,0.42282963847802413,0.37661174155921723
PLT-005,뚝섬2주차장,561,63403.0,2020-10-06,2020,10,6,0,113.01782531194296,14.2,9.3,19.7,10,19,6,청담대교,0.2743064050496648,0.41555348958588184,0.31014010536445336,영동대교,0.20003219402264313,0.4370875140848849,0.36288029189247195
PLT-005,뚝섬1주차장,185,16556.0,2020-10-06,2020,10,6,0,89.4918918918919,14.2,9.3,19.7,10,19,6,청담대교,0.2743064050496648,0.41555348958588184,0.31014010536445336,영동대교,0.20003219402264313,0.4370875140848849,0.36288029189247195
PLT-005,뚝섬4주차장,472,42606.0,2020-10-06,2020,10,6,0,90.26694915254237,14.2,9.3,19.7,10,19,6,청담대교,0.2743064050496648,0.41555348958588184,0.31014010536445336,영동대교,0.20003219402264313,0.4370875140848849,0.36288029189247195
PLT-005,뚝섬3주차장,196,19028.0,2020-10-06,2020,10,6,0,97.08163265306122,14.2,9.3,19.7,10,19,6,청담대교,0.2743064050496648,0.41555348958588184,0.31014010536445336,영동대교,0.20003219402264313,0.4370875140848849,0.36288029189247195
PLT-005,뚝섬2주차장,575,62811.0,2020-10-05,2020,10,5,0,109.23652173913044,13.3,8.5,18.4,10,14,6,청담대교,0.28746000408468925,0.4128769827762271,0.29966301313908367,영동대교,0.21055269851289382,0.43191058797319126,0.3575367135139149
PLT-005,뚝섬3주차장,236,20488.0,2020-10-05,2020,10,5,0,86.8135593220339,13.3,8.5,18.4,10,14,6,청담대교,0.28746000408468925,0.4128769827762271,0.29966301313908367,영동대교,0.21055269851289382,0.43191058797319126,0.3575367135139149
PLT-005,뚝섬1주차장,185,15554.0,2020-10-05,2020,10,5,0,84.07567567567567,13.3,8.5,18.4,10,14,6,청담대교,0.28746000408468925,0.4128769827762271,0.29966301313908367,영동대교,0.21055269851289382,0.43191058797319126,0.3575367135139149
PLT-005,뚝섬4주차장,478,42810.0,2020-10-05,2020,10,5,0,89.56066945606695,13.3,8.5,18.4,10,14,6,청담대교,0.28746000408468925,0.4128769827762271,0.29966301313908367,영동대교,0.21055269851289382,0.43191058797319126,0.3575367135139149
PLT-005,뚝섬2주차장,1271,154936.0,2020-10-04,2020,10,4,1,121.90086546026753,16.6,10.6,21.8,15,19,6,청담대교,0.17237058864474814,0.49379335947469777,0.3338360518805541,영동대교,0.17413097639103098,0.47262427334203344,0.3532447502669356
PLT-005,뚝섬4주차장,928,75990.0,2020-10-04,2020,10,4,1,81.88577586206897,16.6,10.6,21.8,15,19,6,청담대교,0.17237058864474814,0.49379335947469777,0.3338360518805541,영동대교,0.17413097639103098,0.47262427334203344,0.3532447502669356
PLT-005,뚝섬3주차장,509,52268.0,2020-10-04,2020,10,4,1,102.68762278978387,16.6,10.6,21.8,15,19,6,청담대교,0.17237058864474814,0.49379335947469777,0.3338360518805541,영동대교,0.17413097639103098,0.47262427334203344,0.3532447502669356
PLT-005,뚝섬1주차장,353,33285.0,2020-10-04,2020,10,4,1,94.29178470254958,16.6,10.6,21.8,15,19,6,청담대교,0.17237058864474814,0.49379335947469777,0.3338360518805541,영동대교,0.17413097639103098,0.47262427334203344,0.3532447502669356
PLT-005,뚝섬1주차장,375,31183.0,2020-10-03,2020,10,3,1,83.15466666666667,19.9,18.3,23.2,15,19,16,청담대교,0.15628531542910323,0.45463006049325266,0.3890846240776441,영동대교,0.1591459331375882,0.5093236491011178,0.331530417761294
PLT-005,뚝섬2주차장,1377,168857.0,2020-10-03,2020,10,3,1,122.62672476397968,19.9,18.3,23.2,15,19,16,청담대교,0.15628531542910323,0.45463006049325266,0.3890846240776441,영동대교,0.1591459331375882,0.5093236491011178,0.331530417761294
PLT-005,뚝섬3주차장,700,76018.0,2020-10-03,2020,10,3,1,108.59714285714286,19.9,18.3,23.2,15,19,16,청담대교,0.15628531542910323,0.45463006049325266,0.3890846240776441,영동대교,0.1591459331375882,0.5093236491011178,0.331530417761294
PLT-005,뚝섬4주차장,981,87348.0,2020-10-03,2020,10,3,1,89.03975535168196,19.9,18.3,23.2,15,19,16,청담대교,0.15628531542910323,0.45463006049325266,0.3890846240776441,영동대교,0.1591459331375882,0.5093236491011178,0.331530417761294
PLT-005,뚝섬2주차장,1029,105103.0,2020-10-02,2020,10,2,1,102.14091350826044,19.2,16.3,21.9,15,19,16,청담대교,0.17525641299016995,0.4764483868904194,0.3482952001194106,영동대교,0.1682155844963168,0.4974668200043515,0.3343175954993317
PLT-005,뚝섬1주차장,320,29207.0,2020-10-02,2020,10,2,1,91.271875,19.2,16.3,21.9,15,19,16,청담대교,0.17525641299016995,0.4764483868904194,0.3482952001194106,영동대교,0.1682155844963168,0.4974668200043515,0.3343175954993317
PLT-005,뚝섬3주차장,539,45364.0,2020-10-02,2020,10,2,1,84.16326530612245,19.2,16.3,21.9,15,19,16,청담대교,0.17525641299016995,0.4764483868904194,0.3482952001194106,영동대교,0.1682155844963168,0.4974668200043515,0.3343175954993317
PLT-005,뚝섬4주차장,969,71010.0,2020-10-02,2020,10,2,1,73.28173374613003,19.2,16.3,21.9,15,19,16,청담대교,0.17525641299016995,0.4764483868904194,0.3482952001194106,영동대교,0.1682155844963168,0.4974668200043515,0.3343175954993317
PLT-005,뚝섬2주차장,1210,118982.0,2020-10-01,2020,10,1,1,98.33223140495868,18.8,15.6,23.6,15,19,11,청담대교,0.26692717979109565,0.4455330024446255,0.28753981776427884,영동대교,0.19609570356899295,0.5415151170720618,0.26238917935894523
PLT-005,뚝섬3주차장,691,58442.0,2020-10-01,2020,10,1,1,84.57597684515196,18.8,15.6,23.6,15,19,11,청담대교,0.26692717979109565,0.4455330024446255,0.28753981776427884,영동대교,0.19609570356899295,0.5415151170720618,0.26238917935894523
PLT-005,뚝섬1주차장,286,21764.0,2020-10-01,2020,10,1,1,76.0979020979021,18.8,15.6,23.6,15,19,11,청담대교,0.26692717979109565,0.4455330024446255,0.28753981776427884,영동대교,0.19609570356899295,0.5415151170720618,0.26238917935894523
PLT-005,뚝섬4주차장,1067,83192.0,2020-10-01,2020,10,1,1,77.96813495782568,18.8,15.6,23.6,15,19,11,청담대교,0.26692717979109565,0.4455330024446255,0.28753981776427884,영동대교,0.19609570356899295,0.5415151170720618,0.26238917935894523
PLT-005,뚝섬3주차장,440,36762.0,2020-09-30,2020,9,30,1,83.55,19.6,16.2,25.7,15,24,16,청담대교,0.23853928652298317,0.4884003375944338,0.27306037588258303,영동대교,0.19324063736932914,0.523241652288643,0.28351771034202783
PLT-005,뚝섬4주차장,732,55469.0,2020-09-30,2020,9,30,1,75.77732240437159,19.6,16.2,25.7,15,24,16,청담대교,0.23853928652298317,0.4884003375944338,0.27306037588258303,영동대교,0.19324063736932914,0.523241652288643,0.28351771034202783
PLT-005,뚝섬2주차장,949,87323.0,2020-09-30,2020,9,30,1,92.01580611169652,19.6,16.2,25.7,15,24,16,청담대교,0.23853928652298317,0.4884003375944338,0.27306037588258303,영동대교,0.19324063736932914,0.523241652288643,0.28351771034202783
PLT-005,뚝섬1주차장,248,25035.0,2020-09-30,2020,9,30,1,100.9475806451613,19.6,16.2,25.7,15,24,16,청담대교,0.23853928652298317,0.4884003375944338,0.27306037588258303,영동대교,0.19324063736932914,0.523241652288643,0.28351771034202783
PLT-005,뚝섬4주차장,610,51163.0,2020-09-29,2020,9,29,0,83.87377049180328,19.6,15.3,23.9,15,19,11,청담대교,0.27541801846768155,0.41385907994343235,0.3107229015888861,영동대교,0.20667044303688828,0.45793638532708514,0.33539317163602655
PLT-005,뚝섬3주차장,312,23527.0,2020-09-29,2020,9,29,0,75.40705128205128,19.6,15.3,23.9,15,19,11,청담대교,0.27541801846768155,0.41385907994343235,0.3107229015888861,영동대교,0.20667044303688828,0.45793638532708514,0.33539317163602655
PLT-005,뚝섬2주차장,764,69749.0,2020-09-29,2020,9,29,0,91.29450261780104,19.6,15.3,23.9,15,19,11,청담대교,0.27541801846768155,0.41385907994343235,0.3107229015888861,영동대교,0.20667044303688828,0.45793638532708514,0.33539317163602655
PLT-005,뚝섬1주차장,213,20742.0,2020-09-29,2020,9,29,0,97.38028169014083,19.6,15.3,23.9,15,19,11,청담대교,0.27541801846768155,0.41385907994343235,0.3107229015888861,영동대교,0.20667044303688828,0.45793638532708514,0.33539317163602655
PLT-005,뚝섬4주차장,568,50249.0,2020-09-28,2020,9,28,0,88.46654929577464,20.7,15.7,26.5,20,24,11,청담대교,0.27873269383713944,0.4082387885280226,0.3130285176348379,영동대교,0.20393684356959033,0.4349307922376017,0.361132364192808
