주차장명,월,휴일여부,평균기온,최저기온,최고기온,영동_아침주차,영동_낮주차,영동_저녁주차,영동_아침이용,영동_낮이용,영동_저녁이용,요일,총 주차 대수,년도,아침 이용시간 예측,낮 이용시간 예측,저녁 이용시간 예측,아침 혼잡도,낮 혼잡도,저녁 혼잡도
뚝섬3주차장,2,0,3.8,-1.2,9.7,49.73707066719305,110.96360047374655,87.29932885906038,5147.7868140544815,11484.732649032769,9035.48053691275,0,112,2024,3677.1873,7958.0127,6270.7617,여유,혼잡,보통
뚝섬4주차장,2,0,3.8,-1.2,9.7,102.08132649032768,227.74384129490724,179.17483221476508,11264.44374259771,25131.018337939204,19771.537919463084,0,136,2024,10146.707,21582.916,19633.607,보통,만차,만차
뚝섬1주차장,2,1,2.8,0.8,5.9,74.37587975065351,199.99145385079427,135.63266639855215,4285.139101146188,11522.434446008445,7814.426452845363,6,67,2024,6091.9307,15622.212,10218.819,만차,만차,만차
뚝섬4주차장,2,1,2.8,0.8,5.9,140.58855318721092,378.03262618137944,256.37882063140955,14622.29795897848,39318.31982706615,26665.382213955356,6,136,2024,11967.474,31122.883,20016.848,만차,만차,만차
뚝섬2주차장,2,1,2.8,0.8,5.9,179.04632515584152,481.4428413432536,326.5108335009048,27514.3589885381,73984.15553991555,50175.485471546344,6,356,2024,23002.766,64397.637,46216.496,보통,만차,혼잡
뚝섬3주차장,2,1,2.8,0.8,5.9,98.50268952342648,264.86673034385683,179.63058013271663,13832.099587773977,37193.532575909914,25224.3678363161,6,112,2024,13027.391,35582.504,24215.6,혼잡,만차,만차
뚝섬2주차장,2,1,2.0,-1.3,5.9,100.8573277256551,229.6384665156907,169.50420575865417,10154.114040763505,23119.541531866707,17065.344427369782,5,356,2024,12434.168,27916.611,18902.443,여유,보통,여유
뚝섬1주차장,2,1,2.0,-1.3,5.9,45.18408282109348,102.87803299902943,75.93788417987706,3234.2927855063076,7364.046344225169,5435.660870268522,5,67,2024,2338.0508,4394.846,3497.0386,보통,만차,만차
뚝섬3주차장,2,1,2.0,-1.3,5.9,64.34697508896795,146.50934163701066,108.14368327402136,4543.420899385311,10344.753639598835,7635.825461015853,5,112,2024,7726.7847,16338.31,10352.469,보통,만차,혼잡
뚝섬4주차장,2,1,2.0,-1.3,5.9,144.6294079585894,329.30156098350045,243.06903105791005,13148.568100938204,29937.507602717564,22097.924296344227,5,136,2024,10725.204,24492.72,16795.863,만차,만차,만차
뚝섬2주차장,2,0,1.8,-1.0,6.1,90.19024316224726,205.01375137513753,167.7960054626152,10378.695800614543,23592.079207920793,19309.22499146466,4,356,2024,10319.694,23523.873,19334.836,여유,보통,여유
뚝섬1주차장,2,0,1.8,-1.0,6.1,26.88175714123136,61.10561056105611,50.01263229771252,2098.7250104320774,4770.665566556656,3904.609423011266,4,67,2024,1873.0596,4651.3726,4385.41,여유,혼잡,혼잡
뚝섬3주차장,2,0,1.8,-1.0,6.1,40.32263571184704,91.65841584158416,75.01894844656879,2838.9473085239556,6453.283828382839,5281.768863093204,4,112,2024,3387.108,7774.1245,6041.2334,여유,보통,보통
뚝섬4주차장,2,0,1.8,-1.0,6.1,104.99468912408481,238.66611661166118,195.33919426425396,11134.501726034672,25310.12101210121,20715.377261864112,4,136,2024,9811.224,23968.697,19136.307,보통,만차,만차
