"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-011","잠실1주차장","1941","74403","2024/10/28"
"PLT-008","여의도3주차장","1130","370265","2024/10/28"
"PLT-005","뚝섬3주차장","715","82651","2024/10/27"
"PLT-009","반포2,3주차장","3811","392626","2024/10/27"
"PLT-005","뚝섬4주차장","900","99111","2024/10/27"
"PLT-006","광나루4주차장","109","4559","2024/10/27"
"PLT-007","양화3주차장","1369","146875","2024/10/27"
"PLT-005","뚝섬2주차장","1006","118616","2024/10/27"
"PLT-008","여의도5주차장","212","18406","2024/10/27"
"PLT-003","망원1주차장","560","71612","2024/10/27"
"PLT-010","잠원2-6주차장","2223","210004","2024/10/27"
"PLT-006","광나루3주차장","744","64912","2024/10/27"
"PLT-009","반포1주차장","1505","92085","2024/10/27"
"PLT-008","여의도2주차장","1711","114296","2024/10/27"
"PLT-004","이촌2주차장","477","52322","2024/10/27"
"PLT-002","난지1,2,3주차장","2344","226831","2024/10/27"
"PLT-008","여의도3주차장","2274","347099","2024/10/27"
"PLT-006","광나루1,2주차장","1109","95574","2024/10/27"
"PLT-003","망원2,3주차장","1441","145683","2024/10/27"
"PLT-001","강서1주차장","297","30596","2024/10/27"
"PLT-011","잠실1주차장","1106","65054","2024/10/27"
"PLT-004","이촌3,4주차장","1351","116799","2024/10/27"
"PLT-004","이촌1주차장","320","15006","2024/10/27"
"PLT-008","여의도4주차장","78","8595","2024/10/27"
"PLT-005","뚝섬1주차장","309","30262","2024/10/27"
"PLT-007","양화1주차장","391","38987","2024/10/27"
"PLT-007","양화2주차장","85","9610","2024/10/27"
"PLT-008","여의도1주차장","2864","285936","2024/10/27"
"PLT-010","잠원1주차장","533","40670","2024/10/27"
"PLT-011","잠실4주차장","1520","155503","2024/10/27"
"PLT-007","양화1주차장","451","44447","2024/10/26"
"PLT-005","뚝섬3주차장","587","102267","2024/10/26"
"PLT-002","난지1,2,3주차장","3356","350067","2024/10/26"
"PLT-004","이촌1주차장","271","13006","2024/10/26"
"PLT-009","반포1주차장","1767","122420","2024/10/26"
"PLT-010","잠원2-6주차장","2831","299132","2024/10/26"
"PLT-004","이촌2주차장","415","40821","2024/10/26"
"PLT-011","잠실1주차장","1927","105530","2024/10/26"
"PLT-006","광나루4주차장","170","10060","2024/10/26"
"PLT-010","잠원1주차장","724","71141","2024/10/26"
"PLT-001","강서1주차장","320","32031","2024/10/26"
"PLT-008","여의도5주차장","245","21575","2024/10/26"
"PLT-006","광나루1,2주차장","1417","140673","2024/10/26"
"PLT-004","이촌3,4주차장","1653","159406","2024/10/26"
"PLT-009","반포2,3주차장","5106","553444","2024/10/26"
"PLT-005","뚝섬1주차장","372","38084","2024/10/26"
"PLT-008","여의도2주차장","2327","136649","2024/10/26"
"PLT-008","여의도1주차장","3761","406233","2024/10/26"
"PLT-007","양화3주차장","1378","180848","2024/10/26"
"PLT-003","망원2,3주차장","1650","150831","2024/10/26"
"PLT-007","양화2주차장","121","12982","2024/10/26"
"PLT-008","여의도3주차장","2056","307087","2024/10/26"
"PLT-006","광나루3주차장","845","86165","2024/10/26"
"PLT-011","잠실4주차장","2965","292645","2024/10/26"
"PLT-003","망원1주차장","566","51360","2024/10/26"
"PLT-005","뚝섬2주차장","1256","196128","2024/10/26"
"PLT-005","뚝섬4주차장","780","96963","2024/10/26"
"PLT-008","여의도4주차장","71","9824","2024/10/26"
"PLT-008","여의도1주차장","2288","348003","2024/10/25"
"PLT-004","이촌2주차장","233","23903","2024/10/25"
"PLT-001","강서1주차장","224","14310","2024/10/25"
"PLT-010","잠원1주차장","423","36451","2024/10/25"
"PLT-008","여의도5주차장","361","91187","2024/10/25"
"PLT-011","잠실4주차장","2059","104929","2024/10/25"
"PLT-008","여의도4주차장","214","54781","2024/10/25"
"PLT-002","난지1,2,3주차장","2231","133091","2024/10/25"
"PLT-011","잠실1주차장","2049","69984","2024/10/25"
"PLT-005","뚝섬4주차장","722","79836","2024/10/25"
"PLT-003","망원2,3주차장","1131","90946","2024/10/25"
"PLT-008","여의도3주차장","1353","342842","2024/10/25"
"PLT-004","이촌3,4주차장","1086","106375","2024/10/25"
"PLT-006","광나루4주차장","217","15348","2024/10/25"
"PLT-010","잠원2-6주차장","1854","206320","2024/10/25"
"PLT-005","뚝섬3주차장","358","29040","2024/10/25"
"PLT-007","양화3주차장","979","106065","2024/10/25"
"PLT-007","양화1주차장","298","33947","2024/10/25"
"PLT-008","여의도2주차장","2326","201535","2024/10/25"
"PLT-005","뚝섬2주차장","631","74806","2024/10/25"
"PLT-009","반포2,3주차장","2956","244660","2024/10/25"
"PLT-009","반포1주차장","846","46061","2024/10/25"
"PLT-007","양화2주차장","79","8222","2024/10/25"
"PLT-006","광나루3주차장","526","52536","2024/10/25"
"PLT-003","망원1주차장","282","27000","2024/10/25"
"PLT-004","이촌1주차장","201","10239","2024/10/25"
"PLT-006","광나루1,2주차장","753","68666","2024/10/25"
"PLT-005","뚝섬1주차장","245","22668","2024/10/25"
"PLT-006","광나루1,2주차장","646","60358","2024/10/24"
"PLT-004","이촌2주차장","229","21814","2024/10/24"
"PLT-008","여의도2주차장","1699","177138","2024/10/24"
"PLT-004","이촌3,4주차장","737","75787","2024/10/24"
"PLT-005","뚝섬2주차장","511","65077","2024/10/24"
"PLT-005","뚝섬3주차장","291","28192","2024/10/24"
"PLT-005","뚝섬1주차장","191","14638","2024/10/24"
