지구별,주차장명,주차대수,이용시간,날짜,년도,월,일,휴일여부,1대당 평균 주차시간
PLT-005,뚝섬3주차장,676,101594.0,2024-07-28,2024,7,28,주말,150.2869822485207
PLT-005,뚝섬1주차장,288,26300.0,2024-07-28,2024,7,28,주말,91.31944444444444
PLT-005,뚝섬4주차장,932,95405.0,2024-07-28,2024,7,28,주말,102.36587982832619
PLT-005,뚝섬4주차장,723,68465.0,2024-07-27,2024,7,27,주말,94.6957123098202
PLT-005,뚝섬1주차장,211,15328.0,2024-07-27,2024,7,27,주말,72.64454976303317
PLT-005,뚝섬2주차장,714,78363.0,2024-07-27,2024,7,27,주말,109.75210084033614
PLT-005,뚝섬3주차장,637,86354.0,2024-07-27,2024,7,27,주말,135.563579277865
PLT-005,뚝섬3주차장,433,59384.0,2024-07-26,2024,7,26,평일,137.14549653579678
PLT-005,뚝섬1주차장,177,12002.0,2024-07-26,2024,7,26,평일,67.80790960451978
PLT-005,뚝섬2주차장,532,58645.0,2024-07-26,2024,7,26,평일,110.23496240601504
PLT-005,뚝섬4주차장,568,54310.0,2024-07-26,2024,7,26,평일,95.61619718309859
PLT-005,뚝섬2주차장,477,54422.0,2024-07-25,2024,7,25,평일,114.0922431865828
PLT-005,뚝섬3주차장,431,60071.0,2024-07-25,2024,7,25,평일,139.37587006960558
PLT-005,뚝섬4주차장,510,54027.0,2024-07-25,2024,7,25,평일,105.93529411764706
PLT-005,뚝섬1주차장,149,9787.0,2024-07-25,2024,7,25,평일,65.68456375838926
PLT-005,뚝섬4주차장,571,56668.0,2024-07-24,2024,7,24,평일,99.24343257443083
PLT-005,뚝섬3주차장,374,39642.0,2024-07-24,2024,7,24,평일,105.99465240641712
PLT-005,뚝섬2주차장,511,61820.0,2024-07-24,2024,7,24,평일,120.97847358121331
PLT-005,뚝섬1주차장,175,11341.0,2024-07-24,2024,7,24,평일,64.80571428571429
PLT-005,뚝섬4주차장,517,59284.0,2024-07-23,2024,7,23,평일,114.66924564796905
PLT-005,뚝섬2주차장,430,54103.0,2024-07-23,2024,7,23,평일,125.82093023255814
PLT-005,뚝섬3주차장,278,26062.0,2024-07-23,2024,7,23,평일,93.74820143884892
PLT-005,뚝섬1주차장,128,6589.0,2024-07-23,2024,7,23,평일,51.4765625
PLT-005,뚝섬2주차장,444,58467.0,2024-07-22,2024,7,22,평일,131.68243243243242
PLT-005,뚝섬3주차장,270,25670.0,2024-07-22,2024,7,22,평일,95.07407407407408
PLT-005,뚝섬1주차장,118,7159.0,2024-07-22,2024,7,22,평일,60.66949152542373
PLT-005,뚝섬4주차장,437,49233.0,2024-07-22,2024,7,22,평일,112.66132723112128
PLT-005,뚝섬3주차장,642,70894.0,2024-07-21,2024,7,21,주말,110.42679127725857
PLT-005,뚝섬2주차장,976,100588.0,2024-07-21,2024,7,21,주말,103.06147540983606
PLT-005,뚝섬4주차장,885,81225.0,2024-07-21,2024,7,21,주말,91.77966101694915
PLT-005,뚝섬1주차장,232,17119.0,2024-07-21,2024,7,21,주말,73.78879310344827
PLT-005,뚝섬2주차장,663,66817.0,2024-07-20,2024,7,20,주말,100.77978883861236
PLT-005,뚝섬1주차장,196,13519.0,2024-07-20,2024,7,20,주말,68.97448979591837
PLT-005,뚝섬4주차장,753,69334.0,2024-07-20,2024,7,20,주말,92.07702523240371
PLT-005,뚝섬3주차장,502,63165.0,2024-07-20,2024,7,20,주말,125.82669322709164
PLT-005,뚝섬2주차장,605,67939.0,2024-07-19,2024,7,19,평일,112.29586776859504
PLT-005,뚝섬3주차장,472,41829.0,2024-07-19,2024,7,19,평일,88.6207627118644
PLT-005,뚝섬4주차장,660,58466.0,2024-07-19,2024,7,19,평일,88.58484848484848
PLT-005,뚝섬1주차장,177,13014.0,2024-07-19,2024,7,19,평일,73.52542372881356
PLT-005,뚝섬1주차장,89,6534.0,2024-07-18,2024,7,18,평일,73.41573033707866
PLT-005,뚝섬2주차장,298,39397.0,2024-07-18,2024,7,18,평일,132.20469798657717
PLT-005,뚝섬4주차장,321,30286.0,2024-07-18,2024,7,18,평일,94.34890965732087
PLT-005,뚝섬3주차장,159,13373.0,2024-07-18,2024,7,18,평일,84.10691823899371
PLT-005,뚝섬1주차장,116,8299.0,2024-07-17,2024,7,17,평일,71.54310344827586
PLT-005,뚝섬2주차장,381,45997.0,2024-07-17,2024,7,17,평일,120.72703412073491
PLT-005,뚝섬4주차장,308,28719.0,2024-07-17,2024,7,17,평일,93.24350649350649
PLT-005,뚝섬3주차장,206,19828.0,2024-07-17,2024,7,17,평일,96.25242718446601
PLT-005,뚝섬4주차장,468,54541.0,2024-07-16,2024,7,16,평일,116.5405982905983
PLT-005,뚝섬2주차장,398,55130.0,2024-07-16,2024,7,16,평일,138.5175879396985
PLT-005,뚝섬1주차장,180,12145.0,2024-07-16,2024,7,16,평일,67.47222222222223
