주차장명,주차대수,이용시간,code,월,일,휴일여부,평균기온(°C),일반이용자(아침),일반이용자(낮),일반이용자(저녁),비
여의도4주차장,266,5.893483709273183,8,4,5,0,11.9,24835.25,74430.0,84935.0,0
강서1주차장,223,1.3576233183856503,1,4,5,0,11.9,12315.0,52830.0,33690.0,0
"잠실1,2,3,4주차장",3417,1.0087796312554873,11,4,5,0,11.9,7755.0,70390.0,77921.0,0
여의도2주차장,1402,2.27981455064194,8,4,5,0,11.9,24835.25,74430.0,84935.0,0
잠원1-6주차장,3453,1.5395211893039868,10,4,5,0,11.9,10549.0,41196.0,49686.0,0
양화2주차장,87,1.7708812260536395,7,4,5,0,11.9,21030.0,247140.0,179140.0,0
뚝섬1주차장,165,0.9866666666666668,5,4,5,0,11.9,2020.0,41099.0,48128.0,0
양화1주차장,369,1.5375790424570912,7,4,5,0,11.9,21030.0,247140.0,179140.0,0
여의도3주차장,1442,5.002357836338419,8,4,5,0,11.9,24835.25,74430.0,84935.0,0
"망원2,3주차장",761,1.4419623302671922,3,4,5,0,11.9,75280.0,341280.0,241110.0,0
"반포2,3주차장",2366,1.048753169907016,9,4,5,0,11.9,3295.0,35989.0,41601.0,0
뚝섬4주차장,735,1.478458049886621,5,4,5,0,11.9,2020.0,41099.0,48128.0,0
망원1주차장,376,1.4241578014184395,3,4,5,0,11.9,75280.0,341280.0,241110.0,0
광나루3주차장,735,0.7664852607709751,6,4,5,0,11.9,3140.0,32610.0,40095.0,0
반포1주차장,979,0.9678583588695948,9,4,5,0,11.9,3295.0,35989.0,41601.0,0
뚝섬3주차장,370,1.407792792792793,5,4,5,0,11.9,2020.0,41099.0,48128.0,0
"이촌3,4주차장",993,1.4727257468949313,4,4,5,0,11.9,8380.0,68840.0,46870.0,0
이촌2주차장,303,1.1774477447744771,4,4,5,0,11.9,8380.0,68840.0,46870.0,0
"양화3,4,5주차장",1110,1.31487987987988,7,4,5,0,11.9,21030.0,247140.0,179140.0,0
이촌1주차장,87,1.2662835249042146,4,4,5,0,11.9,8380.0,68840.0,46870.0,0
뚝섬2주차장,779,1.8269148480958497,5,4,5,0,11.9,2020.0,41099.0,48128.0,0
여의도2주차장,55,0.0042424242424242,8,4,4,1,11.9,24835.25,74430.0,84935.0,1
뚝섬4주차장,1005,1.3913101160862356,5,4,4,1,11.9,2020.0,41099.0,48128.0,1
"광나루1,2주차장",1375,1.069321212121212,6,4,4,1,11.9,3140.0,32610.0,40095.0,1
광나루3주차장,883,1.093676859192148,6,4,4,1,11.9,3140.0,32610.0,40095.0,1
망원1주차장,663,1.0822272498743086,3,4,4,1,11.9,75280.0,341280.0,241110.0,1
"양화3,4,5주차장",2412,1.1437534549474848,7,4,4,1,11.9,21030.0,247140.0,179140.0,1
양화2주차장,158,1.319409282700422,7,4,4,1,11.9,21030.0,247140.0,179140.0,1
이촌1주차장,153,0.7189542483660131,4,4,4,1,11.9,8380.0,68840.0,46870.0,1
여의도3주차장,2,0.0583333333333333,8,4,4,1,11.9,24835.25,74430.0,84935.0,1
잠원1-6주차장,4964,1.2936442385173246,10,4,4,1,11.9,10549.0,41196.0,49686.0,1
"잠실1,2,3,4주차장",3338,1.4043189534651488,11,4,4,1,11.9,7755.0,70390.0,77921.0,1
"난지1,2,3주차장",2781,1.0998801390387152,2,4,4,1,11.9,20548.0,118638.0,103058.0,1
반포1주차장,2068,0.9893455834945196,9,4,4,1,11.9,3295.0,35989.0,41601.0,1
양화1주차장,626,1.0291267305644305,7,4,4,1,11.9,21030.0,247140.0,179140.0,1
뚝섬1주차장,430,1.011860465116279,5,4,4,1,11.9,2020.0,41099.0,48128.0,1
강서1주차장,388,1.3116838487972509,1,4,4,1,11.9,12315.0,52830.0,33690.0,1
이촌2주차장,587,1.2428449744463372,4,4,4,1,11.9,8380.0,68840.0,46870.0,1
"반포2,3주차장",4471,1.1382427495713114,9,4,4,1,11.9,3295.0,35989.0,41601.0,1
여의도1주차장,184,1.9693840579710145,8,4,4,1,11.9,24835.25,74430.0,84935.0,1
여의도5주차장,274,1.6166666666666665,8,4,4,1,11.9,24835.25,74430.0,84935.0,1
뚝섬2주차장,1508,1.545501768346596,5,4,4,1,11.9,2020.0,41099.0,48128.0,1
뚝섬3주차장,665,1.3994987468671678,5,4,4,1,11.9,2020.0,41099.0,48128.0,1
여의도4주차장,2,0.0,8,4,4,1,11.9,24835.25,74430.0,84935.0,1
"이촌3,4주차장",2238,1.1530160857908849,4,4,4,1,11.9,8380.0,68840.0,46870.0,1
"망원2,3주차장",1486,1.3979811574697174,3,4,4,1,11.9,75280.0,341280.0,241110.0,1
"망원2,3주차장",681,1.3284385707293196,3,4,3,1,14.9,75280.0,341280.0,241110.0,1
"이촌3,4주차장",969,1.0977124183006537,4,4,3,1,14.9,8380.0,68840.0,46870.0,1
"광나루1,2주차장",510,1.1252614379084966,6,4,3,1,14.9,3140.0,32610.0,40095.0,1
망원1주차장,316,1.1981540084388187,3,4,3,1,14.9,75280.0,341280.0,241110.0,1
양화1주차장,264,1.010732323232323,7,4,3,1,14.9,21030.0,247140.0,179140.0,1
양화2주차장,60,0.8541666666666666,7,4,3,1,14.9,21030.0,247140.0,179140.0,1
뚝섬3주차장,313,1.1757188498402555,5,4,3,1,14.9,2020.0,41099.0,48128.0,1
뚝섬2주차장,510,1.513921568627451,5,4,3,1,14.9,2020.0,41099.0,48128.0,1
뚝섬1주차장,111,1.268018018018018,5,4,3,1,14.9,2020.0,41099.0,48128.0,1
"난지1,2,3주차장",1331,0.6323190583521162,2,4,3,1,14.9,20548.0,118638.0,103058.0,1
"반포2,3주차장",2420,1.1675068870523415,9,4,3,1,14.9,3295.0,35989.0,41601.0,1
